Complaint Name,Project,Country,IAM,Bank,External ID,Status,Filer,IFI Support,Sector,Issues,Description,Registration,Eligibility,Dispute Resolution,Compliance Review,Monitoring
"Santa Fe Infrastructure Project and Provincial Road Infrastructure Project, 1st Request","Santa Fe Infrastructure Project and Provincial Road Infrastructure Project, 1st Request",Argentina,World Bank Inspection Panel (WB Panel),World Bank,42,Closed Without Results,Unknown,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Livelihoods, Other community health and safety issues, Pollution",,8/28/06,9/11/06,,,
"Santa Fe Road Infrastructure Project and Provincial Road Infrastructure Project, 3rd Request","Santa Fe Road Infrastructure Project and Provincial Road Infrastructure Project, 3rd Request",Argentina,World Bank Inspection Panel (WB Panel),World Bank,51,Closed With Results,Unknown,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Other retaliation (actual or feared), Pollution",,9/13/07,10/19/07,4/18/08,,4/18/08
Sao Jose dos Campos Urban Structuring Program,Sao Jose dos Campos Urban Structuring Program,Brazil,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-BR-2011-020,Active,Central de Movimentos Populares na Cidade de Sao Jose dos Campos,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Livelihoods, Water",,6/10/11,6/16/11,8/22/11,3/12/17,
Sao Jose dos Campos Urban Structuring Program 2,Sao Jose dos Campos Urban Structuring Program,Brazil,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-BR-2012-052,Closed Without Results,,,,Other,,12/1/12,,,,
Saudi Pak Bank-01,Saudi Pak Bank-01,Pakistan,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,1/1/13,,,,
Scottish & Southern Renewables,Scottish & Southern Renewables,United Kingdom,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2010/11,Closed Without Results,Unknown,Project/investment lending,Energy,"Biodiversity, Due diligence",,9/16/10,9/30/10,9/30/10,,
Second Green Power Development Project,Second Green Power Development Project,Bhutan,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,,"Advisory services, Project/investment lending",Energy,Procurement,,10/7/15,10/9/15,,,
Second National Water Development Project - AdditionalFinancing,Second National Water Development Project - AdditionalFinancing,Malawi,World Bank Inspection Panel (WB Panel),World Bank,86,Closed Without Results,Citizens for Justice (Malawi),Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence, Human rights, Other, Other community health and safety issues, Water",,5/22/13,,,,
Second Norte Grande Water Infrastructure Project,Second Norte Grande Water Infrastructure Project,Argentina,World Bank Inspection Panel (WB Panel),World Bank,73,Closed Without Results,Unknown,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence, Livelihoods, Pollution, Water",,5/4/11,6/29/11,,,
Second Rural Enterprise Support Project,Second Rural Enterprise Support Project,Uzbekistan,World Bank Inspection Panel (WB Panel),World Bank,89,Closed With Results Outside Process,"Association of Human Rights in Central Asia, Human Rights Society of Uzbekistan, UzbekGerman Forum for Human Rights",Project/investment lending,"Agribusiness, Infrastructure","Due diligence, Labor, Other community health and safety issues, Other retaliation (actual or feared), Violence against the community (by gov't and/or company)",,9/5/13,9/23/13,12/9/13,,
Second Tamil Nadu Road Sector Project,Second Tamil Nadu Road Sector Project,India,World Bank Inspection Panel (WB Panel),World Bank,99,Closed Without Results,Unknown,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Livelihoods, Other community health and safety issues, Pollution",,12/19/14,,,,
Second Urban Environment Sanitation Project,Second Urban Environment Sanitation Project,Ghana,World Bank Inspection Panel (WB Panel),World Bank,49,Closed With Results,Centre on Housing Rights and Evictions (COHRE),Project/investment lending,"Community capacity and development, Infrastructure","Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Other community health and safety issues, Pollution, Water",,8/16/07,8/22/07,10/24/07,,10/24/07
Secondary Towns Integrated Urban Environmental Improvement Project,Secondary Towns Integrated Urban Environmental Improvement Project,Nepal,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,,Project/investment lending,Infrastructure,"Corruption/fraud, Procurement",,11/27/13,11/28/13,,,
Secondary Towns Integrated Urban Environmental Improvement Project 2,Secondary Towns Integrated Urban Environmental Improvement Project,Nepal,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence, Water",,1/20/14,1/21/14,,,
Secondary and Local Roads Programme,Secondary and Local Roads Programme,Albania,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2013/06,Active,Unknown,Project/investment lending,Infrastructure,Displacement (physical and/or economic),,9/3/13,9/3/13,9/3/13,,
Sendou Coal Fired Power Plant Project,Sendou Coal Fired Power Plant Project,Senegal,African Development Bank Independent Review Mechanism (AfDB IRM),African Development Bank,,Active,Unknown,,"Conservation and environmental protection, Energy, Extractives (oil, gas, mining)","Cultural heritage, Other community health and safety issues, Other environmental, Pollution, Water","<p> <i> Full description available at: <a=href ""https://www.afdb.org/fileadmin/uploads/afdb/Documents/Compliance-Review/Sendou_-_Eligibility_Report-EN.pdf"" class=""u-blue-color""> https://www.afdb.org/fileadmin/uploads/afdb/Documents/Compliance-Review/Sendou_-_Eligibility_Report-EN.pdf""</a> </i></p>

<br>
<p>
The Sendou Coal-Fired Power Plant Project was approved on 25 November 2009 by the Board
of Directors as a senior loan of 55 million euros in favor of Compagnie d’Electrictie du Senegal
(CES) to develop and maintain a 125 MW coal-fired power plant located 35 km from Dakar in
Sendou, Senegal. In addition, the AfDB approved a supplementary loan of Euros 5 million and
had disbursed 55 million euros as of 8 March 2017. The total cost of the Project is Euro 206
million. The Bank co-finances this amount with the Banque Ouest Africaine de Développement
(BOAD) and the Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.
(FMO). The project is being developed on a “build, own, and operate” basis and targets to supply
up to 40% of Senegal’s electricity, which currently derives 80% of its electricity from diesel-fueled power generation. The Government of Senegal (GOS) has outlined a strategy for diversifying and
increasing domestic power generation capacity with a combination of conventional thermal base
load and renewable energy. It is the first coal-fired plant in Senegal. The coal will be imported via
sea and unloaded at Dakar harbor from where it will be transported by trucks to the coal storage
site on the plant. The project aims at producing at least 925 GWh of electricity a year. The power
will be delivered to the national interconnected grid system of SENELEC, Senegal’s public
electricity utility company. The project includes the development, design, procurement,
construction, operation and maintenance of a 125 MW coal-fired power plant on a 22 hectare-site.
Power production can be expanded to 250 MW through a second phase project, for which project
preparation have not yet started. The project will also build a 1.6 km 225 kV transmission line and
associated switchyard to connect the plant to SENELEC. 
</p>
<br>
<p>
The project is located about 600 meters away from the Atlantic Ocean and near two
communities, the town of Bargny located at 2 km north-west and a fishing village, Minam, with
600 inhabitants to the south. The project is located 500 meters from dwellings, a school, a
watercourse, a lake and a water collection point and areas designated for residential developments.
A 500 meter buffer zone around the plant is required by Senegalese law. Active on the grounds of
the power plant is a substantial group of women who regularly – since many generations – dry fish
on the ground which they receive from fishermen at the Bargny harbor. These activities require
space as fish is laid out on the ground for drying. Between 1000 and 4000 women pursue this
activity for about 9 months during the year. Dried fish is then sold to male workers who package
the dried fish and transport it to markets in Dakar and to the harbor for export. 
</p>
<br>
<p>
The Project Company is Compagnie d’Electricite du Snegal SA (CES), whose original sponsor
was Nykomb Synergetics of Sweden. Late in 2012, AFG, an investment bank of Morocco joined
as equity partner. In October 2015, Quantum Power acquired the equity interest of AFG and
became joint equity sponsor with Nykomb. The construction of the power plant has been
contracted out to two Indian companies: Bharat Heavy Electricals Limited (BHIEL) and Promac
Engineering Industries Ltd (Promac). The new Project Sponsor, Quantum Power, took necessary
measures to relaunch the construction of the power plant, and to secure additional equity needed
to complete the Project. Construction resumed in January 2016 and the Project is now scheduled
to begin commercial operation by end of 2017. 
</p>",,,,,4/24/17
Serra do Mar and Atlantic Forest Mosaics System Socioenvironmental Recovery Program,Serra do Mar and Atlantic Forest Mosaics System Socioenvironmental Recovery Program,Brazil,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-BR-2010-003,Closed Without Results,Mongue Protecao ao Sistema Costeiro,Project/investment lending,Conservation and environmental protection,Other environmental,,5/31/10,9/20/10,12/20/10,,
Silver Standard Resources: Pirquitas project,Silver Standard Resources: Pirquitas project (2013-05-ARG),Argentina,Canadian Office of the Extractive Sector Corporate Social Responsibility Counsellor (COES CSR),Canadian Office of the Extractive Sector,2013-05-ARG,Closed Without Results,Unknown,,"Extractives (oil, gas, mining)","Consultation and disclosure, Other community health and safety issues, Pollution, Water",,4/4/13,4/4/13,4/10/13,,
Sinchi Wayra (formerly COMSUR),Sinchi Wayra (formerly COMSUR),Bolivia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,3/1/08,,,,
Sinharaja Forest,Sinharaja Forest,Sri Lanka,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,6/1/11,,,,
Sixth Road Project,Sixth Road Project,Philippines,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,Unknown,Project/investment lending,"Infrastructure, Regulatory Development","Due diligence, Livelihoods",,9/27/04,9/28/04,,,
Slovak Motorways D1,Slovak Motorways D1,Slovak Republic,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2009/03,Closed Without Results,Friends of the Earth - CEPA,Project/investment lending,Infrastructure,"Due diligence, Other, Other environmental",,5/5/09,,,,10/28/09
Smallholder Agriculture Development Project,Smallholder Agriculture Development Project,Papua New Guinea,World Bank Inspection Panel (WB Panel),World Bank,62,Closed With Results,Center for Environmental Law and Community Rights (CELCOR),Project/investment lending,Agribusiness,"Consultation and disclosure, Due diligence, Human rights, Indigenous peoples, Other, Other community health and safety issues, Other environmental, Pollution",,12/8/09,12/17/09,3/10/10,,3/10/10
Socar-01/,Socar-01/,Turkey,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,8/1/13,,,,
Solid Waste Management Program for Touristic Municipalities,Solid Waste Management Program for Touristic Municipalities,Argentina,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-AR-2013-066,Closed Without Results,,,,Other,,8/1/13,,,,
Sonae Novobord,Sonae Novobord,South Africa,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2008/03,Closed Without Results,Unknown,Project/investment lending,Manufacturing,"Due diligence, Other environmental, Pollution",,8/14/08,,,,10/3/08
Sostanj Thermal Power Plant,Sostanj Thermal Power Plant,Slovenia,European Bank for Reconstruction and Development Project Complaint Mechanism (EBRD PCM),European Bank for Reconstruction and Development,2012/03,Closed With Results,"CEE Bankwatch, Environmental Legal Service, Focus Association for Sustainable Development",Project/investment lending,Energy,Due diligence,,1/17/12,1/24/12,1/22/13,,1/22/13
South Asia Tourism Infrastructure Development Project - Additional Financing,South Asia Tourism Infrastructure Development Project - Additional Financing,Nepal,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,,Project/investment lending,Infrastructure,,,8/4/15,8/4/15,,,
"South Poland CHP, Bielsko-Biala, Poland","South Poland CHP, Bielsko-Biala, Poland",Poland,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,,Closed Without Results,CEE Bankwatch,Project/investment lending,Energy,"Consultation and disclosure, Other environmental",,3/29/11,,,,
South Sinai Power Plant,South Sinai Power Plant,Egypt,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2011/17,Closed Without Results,Unknown,Project/investment lending,Energy,"Biodiversity, Consultation and disclosure, Due diligence, Other environmental",,5/19/09,6/8/09,8/1/09,1/10/09,1/10/09
South-West Corridor Road Project,South-West Corridor Road Project,Kazakhstan,European Bank for Reconstruction and Development Project Complaint Mechanism (EBRD PCM),European Bank for Reconstruction and Development,2014/04,Active,Blago,Project/investment lending,Infrastructure,"Other community health and safety issues, Pollution",,10/20/14,11/24/14,10/2/15,10/20/15,10/2/15
South-West Roads: Western Europe-Western China International Transit Corridor (CAREC-1b & 6b) (Second Request),South-West Roads: Western Europe-Western China International Transit Corridor (CAREC-1b & 6b) (Second Request),Kazakhstan,World Bank Inspection Panel (WB Panel),World Bank,74,Closed With Results Outside Process,National Analytical Information Resource (NAIR),Project/investment lending,Infrastructure,"Biodiversity, Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Other environmental",,6/15/11,8/17/11,10/18/11,,
South-West Roads: Western Europe-Western China International Transit Corridor (CAREC-1b & 6b) - 1st request,South-West Roads: Western Europe-Western China International Transit Corridor (CAREC-1b & 6b) - 1st request,Kazakhstan,World Bank Inspection Panel (WB Panel),World Bank,66,Closed With Results Outside Process,Unknown,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Livelihoods, Other community health and safety issues, Other environmental, Pollution",,2/5/10,4/29/10,6/28/10,,
South-West Roads: Western Europe-Western China International Transit Corridor - CAREC-1b & 6b (2010) (Third Request),South-West Roads: Western Europe-Western China International Transit Corridor - CAREC-1b & 6b (2010) (Third Request),Kazakhstan,World Bank Inspection Panel (WB Panel),World Bank,96,Closed Without Results,Unknown,Project/investment lending,Infrastructure,Other,,7/31/14,,,,
Southern Agriculture Area Development Project,Southern Agriculture Area Development Project,Kyrgyz Republic,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,"Interbilim, NGO Forum on ADB",Project/investment lending,Agribusiness,"Consultation and disclosure, Human rights, Other retaliation (actual or feared), Water",,9/28/10,10/5/10,,,
Southern Punjab Basic Urban Services Project,Southern Punjab Basic Urban Services Project,Pakistan,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed With Results,Unknown,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Livelihoods, Pollution",,2/27/09,4/30/09,5/25/09,2/7/09,
Southern Transport Development Project (STDP),Southern Transport Development Project (STDP),Sri Lanka,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed With Results,"Gama Surakeema Sanvidhaniya (GSS), Unified Society for the Protection of Akmeemana (USPA)",Project/investment lending,Infrastructure,"Consultation and disclosure, Cultural heritage, Displacement (physical and/or economic), Due diligence, Other environmental",,6/9/04,6/16/04,7/5/04,9/17/04,10/1/05
Special Structural Adjustment Loan,Special Structural Adjustment Loan,Argentina,World Bank Inspection Panel (WB Panel),World Bank,17,Closed With Results Outside Process,Centro de Estudios Legales y Sociales,Project/investment lending,Regulatory Development,"Consultation and disclosure, Other",,7/26/99,8/12/99,12/16/99,,
Standard Profil-01/Duzce,Standard Profil-01/Duzce,Turkey,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,80,Closed With Results,The Confederation of Turkish Trade Unions,Equity Investment,Manufacturing,Labor,,9/1/08,,9/22/08,,
Strategic Public Transportation Systems (SPTS),Strategic Public Transportation Systems (SPTS),Colombia,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-CO-2015-0085,Closed Without Results,,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic)",,1/1/15,1/8/15,,,
Strategic Public Transportation Systems Program,Strategic Public Transportation Systems Program,Colombia,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-CO-2011-030,Closed Without Results,,,,Other,,10/1/11,,,,
Strategic Transport System,Strategic Transport System,Colombia,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-CO-2012-045,Closed Without Results,,,,Other,,9/1/12,,,,
Strengthening the Capacity of Pacific Developing Member Countries to Respond to Climate Change,Strengthening the Capacity of Pacific Developing Member Countries to Respond to Climate Change,Regional,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,,Advisory services,"Community capacity and development, Conservation and environmental protection",,,8/1/12,8/2/12,,,
Subconcessao Pinhal Interior,Subconcessao Pinhal Interior,Portugal,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2011/03,Active,Unknown,Project/investment lending,Infrastructure,Other,,3/4/11,,4/7/11,,6/8/12
Support for the Sustainable Development of the Interior,Support for the Sustainable Development of the Interior,Suriname,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-SU-2013-069,Closed Without Results,Suriname Indigenous Health Fund,Advisory services,"Community capacity and development, Land reform","Displacement (physical and/or economic), Gender-based violence, Indigenous peoples, Other community health and safety issues, Pollution, Water",,10/15/13,11/13/13,,,
Support to Improve Sustainability of the Electricity Service,Support to Improve Sustainability of the Electricity Service,Suriname,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-SU-2015-0087,Closed Without Results,,Project/investment lending,Energy,Other,,2/13/15,3/12/15,,,
Supporting Public Management through eGovernment Capacity Development,Supporting Public Management through eGovernment Capacity Development,Unknown,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,,Advisory services,Regulatory Development,,,10/15/13,10/15/13,,,
Sustainable Agriculture and Rural Development Project,Sustainable Agriculture and Rural Development Project,Paraguay,World Bank Inspection Panel (WB Panel),World Bank,95,Closed With Results Outside Process,"Asociacion de Comunidades Indigenas de San Pedro (ACISPE), Mesa Coordinadora Joaju Ha'e Paveime Guara",Project/investment lending,"Agribusiness, Community capacity and development",Consultation and disclosure,,7/22/14,,,,
"Sustainable Development of Natural Resources - Additional Financing, and Sustainable Development of Natural Resources II","Sustainable Development of Natural Resources - Additional Financing, and Sustainable Development of Natural Resources II",Afghanistan,World Bank Inspection Panel (WB Panel),World Bank,83,Closed With Results Outside Process,Alliance for the Restoration of Cultural Heritage (Kabul Office),Project/investment lending,"Extractives (oil, gas, mining), Regulatory Development","Cultural heritage, Displacement (physical and/or economic), Due diligence, Livelihoods, Other community health and safety issues, Pollution, Violence against the community (by gov't and/or company), Water",,12/3/12,1/4/13,4/23/13,,
Sustainable Development of the Interior,Sustainable Development of the Interior,Suriname,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-SU-2010-011,Closed Without Results,,,,Other,,12/1/10,,,,
Sustainable Environmental Urban Management Program for the Reconquista River Basin-Province of Buenos Aires,Sustainable Environmental Urban Management Program for the Reconquista River Basin-Province of Buenos Aires,Argentina,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-AR-2013-070,Closed Without Results,Unknown,Project/investment lending,"Conservation and environmental protection, Infrastructure","Due diligence, Other",,10/10/13,10/31/13,,,
Sustainable Urban Transport Investment Program,Sustainable Urban Transport Investment Program,Georgia,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,Guram Tikanadze's Youth Center of Svaneti,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic)",,10/27/10,11/5/10,,,
Sustainable Urban Transport Investment Program - Tranche 3,Sustainable Urban Transport Investment Program - Tranche 3,Georgia,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed With Results,Unknown,,Infrastructure,"Displacement (physical and/or economic), Indigenous peoples","<p>
<i>
Full description available here: <a href=""http://compliance.adb.org/dir0035p.nsf/attachments/GEO-R40-16-FOR%20WEB.pdf/$FILE/GEO-R40-16-FOR%20WEB.pdf"" class = ""u-blue-color""> http://compliance.adb.org/dir0035p.nsf/attachments/GEO-R40-16-FOR%20WEB.pdf/$FILE/GEO-R40-16-FOR%20WEB.pdf </a> 
</i> 
</p>
<br>
<p>
The Project is part of an overall investment program valued at $1.1 billion to be
implemented from 2010-2020 which aims to improve the reach, quality, and continuity of urban
transport in Georgia. To partially fund it, a multi-tranche financing facility (MFF) with a maximum
financing amount of $300 million was approved by ADB in July 2010. Said MFF which is to be
implemented from 2010 to 2018, is for the (i) extension, rehabilitation, and improvement of
urban transport infrastructure in Anaklia, Batumi, Kutaisi, Poti, Rustavi, and Tbilisi; (ii) increased
institutional effectiveness, including the reorganization and reforms at the Tbilisi municipality,
other municipalities and urban transport service providers; and (iii) establishment of program
management team with a capability and funds to handle project preparation, technical design,
contract bidding, evaluation and award, contract supervision, progress monitoring and
reporting.  Investments funded under the MFF will improve the transport system and
infrastructure in urban areas. They include two subprojects: (i) section 2 (km 4.0-10.8) of the
international standard Tbilisi-Rustavi Urban Road Link; and (ii) phase 2 of Anaklia Coastal
Improvement. 
</p>
<br>
<p>
The Project is funded under Tranche 3 of the MFF, which was approved on 25
November 2013. The total project cost is $118.2 million and ADB funds $73 million under this
tranche. The borrower is the Government of Georgia and the Municipal Development Fund
(MDF) of Georgia is the executing agency. The Project, which is implemented from ADB
Headquarters by the Urban Development and Water Division of the Central and West Asia
Department, is categorized as B for environmental impacts; A for involuntary resettlement
impacts; C for indigenous peoples’ impacts. Construction work under the project has not yet,
started. Procurement of the civil works contract is ongoing. Commencement of the works is not
anticipated before August 2016. A draft initial environmental examination (IEE) for the Project
was completed and posted on the ADB website in September 2013. This initial IEE was revised
as vibration and noise impacts needed to be studied. A revised IEE was posted on the ADB
website in December 2015. The construction of Section 2 of 6.8 km will involve acquisition of
312 land plots with 29.5 hectares of land areas, demolition of 692 structures (82 residential
structures, 90 industrial and commercial structures, and 520 minor structures). A total of 282
households and 33 businesses will be affected. Per ADB Safeguard Policy Statement (SPS),3
 a
land acquisition and resettlement framework (LARF) was prepared prior to the approval of the
MFF. Subsequently the land acquisition and resettlement plan (LARP) was prepared. It is
presently under implementation. 
</p>
<br>
<p>
The complaint refers to subproject 1: Tbilisi-Rustavi Urban Road Link (section 2) of the
Project which involves the modernization of an existing and construction of a new road from
Phonichala to Rustavi. When finished, the total road length for this Project will be 6.8 km, of
which 3.8 km is new road construction along the Mktvari river. Once completed, it is expected
that the road will be of international standard, Category I highway, with 4 to 6 lanes and with a
general design that can accommodate vehicles with speed of 120km/h. In some areas, a
reduction of speed is anticipated to mitigate noise impacts. 
</p>",,,,,
Sustainable Urban Transport Investment Program - Tranche 3 (2),Sustainable Urban Transport Investment Program - Tranche 3 (2),Georgia,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed With Results,Unknown,,Infrastructure,"Displacement (physical and/or economic), Indigenous peoples","<p>
<i>
Full description available here: <a href=""http://compliance.adb.org/dir0035p.nsf/attachments/GEO-R40-16-FOR%20WEB.pdf/$FILE/GEO-R40-16-FOR%20WEB.pdf"" class = ""u-blue-color""> http://compliance.adb.org/dir0035p.nsf/attachments/GEO-R40-16-FOR%20WEB.pdf/$FILE/GEO-R40-16-FOR%20WEB.pdf </a> 
</i> 
</p>
<br>
<p>
The Project is part of an overall investment program valued at $1.1 billion to be
implemented from 2010-2020 which aims to improve the reach, quality, and continuity of urban
transport in Georgia. To partially fund it, a multi-tranche financing facility (MFF) with a maximum
financing amount of $300 million was approved by ADB in July 2010. Said MFF which is to be
implemented from 2010 to 2018, is for the (i) extension, rehabilitation, and improvement of
urban transport infrastructure in Anaklia, Batumi, Kutaisi, Poti, Rustavi, and Tbilisi; (ii) increased
institutional effectiveness, including the reorganization and reforms at the Tbilisi municipality,
other municipalities and urban transport service providers; and (iii) establishment of program
management team with a capability and funds to handle project preparation, technical design,
contract bidding, evaluation and award, contract supervision, progress monitoring and
reporting.  Investments funded under the MFF will improve the transport system and
infrastructure in urban areas. They include two subprojects: (i) section 2 (km 4.0-10.8) of the
international standard Tbilisi-Rustavi Urban Road Link; and (ii) phase 2 of Anaklia Coastal
Improvement. 
</p>
<br>
<p>
The Project is funded under Tranche 3 of the MFF, which was approved on 25
November 2013. The total project cost is $118.2 million and ADB funds $73 million under this
tranche. The borrower is the Government of Georgia and the Municipal Development Fund
(MDF) of Georgia is the executing agency. The Project, which is implemented from ADB
Headquarters by the Urban Development and Water Division of the Central and West Asia
Department, is categorized as B for environmental impacts; A for involuntary resettlement
impacts; C for indigenous peoples’ impacts. Construction work under the project has not yet,
started. Procurement of the civil works contract is ongoing. Commencement of the works is not
anticipated before August 2016. A draft initial environmental examination (IEE) for the Project
was completed and posted on the ADB website in September 2013. This initial IEE was revised
as vibration and noise impacts needed to be studied. A revised IEE was posted on the ADB
website in December 2015. The construction of Section 2 of 6.8 km will involve acquisition of
312 land plots with 29.5 hectares of land areas, demolition of 692 structures (82 residential
structures, 90 industrial and commercial structures, and 520 minor structures). A total of 282
households and 33 businesses will be affected. Per ADB Safeguard Policy Statement (SPS),3
 a
land acquisition and resettlement framework (LARF) was prepared prior to the approval of the
MFF. Subsequently the land acquisition and resettlement plan (LARP) was prepared. It is
presently under implementation. 
</p>
<br>
<p>
The complaint refers to subproject 1: Tbilisi-Rustavi Urban Road Link (section 2) of the
Project which involves the modernization of an existing and construction of a new road from
Phonichala to Rustavi. When finished, the total road length for this Project will be 6.8 km, of
which 3.8 km is new road construction along the Mktvari river. Once completed, it is expected
that the road will be of international standard, Category I highway, with 4 to 6 lanes and with a
general design that can accommodate vehicles with speed of 120km/h. In some areas, a
reduction of speed is anticipated to mitigate noise impacts. 
</p>",,,1/17/17,,
TCBuen-01/Buenaventura,TCBuen-01/Buenaventura,Colombia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,154,Closed Without Results,Proceso de Comunidades Negras Palenque Regional el Congal,Project/investment lending,Infrastructure,"Consultation and disclosure, Cultural heritage, Human rights",,12/9/09,,1/10/17,,
TCL Group,TCL Group,Trinidad and Tobago,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,3/1/13,,,,
TCL Group-02,TCL Group-02,Trinidad and Tobago,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,4/1/13,,,,
TCQ-01/Puerto Quetzal,TCQ-01/Puerto Quetzal,Guatemala,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,219,Closed Without Results,Sindicato de Trabajadores Organizados del Puerto Quetzal (STOPQ),"Equity Investment, Project/investment lending",Infrastructure,"Consultation and disclosure, Due diligence, Livelihoods, Other environmental, Water",,3/20/14,,4/14/17,,
TD Bank,TD Bank,United States,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,2/1/10,,,,
TES,TES,Slovenia,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,,Active,"CEE Bankwatch, Environmental Law Service, Focus Association for Sustainable Development",Project/investment lending,"Energy, Infrastructure","Due diligence, Other, Other environmental",,2/20/11,,3/15/11,,5/23/12
Tajikistan Framework Agreement,Tajikistan Framework Agreement,Tajikistan,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,,Closed Without Results,CEE Bankwatch,,Other,Consultation and disclosure,,3/25/09,3/31/09,3/31/09,,
Tanahu Hydropower Project,Tanahu Hydropower Project,Nepal,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,,Project/investment lending,"Energy, Infrastructure",Corruption/fraud,,11/12/14,11/13/14,,,
